#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B21D0F
#Date Time: 2024-01-29 12:48:05.713
#Start: 5 Hz
#Stop: 1000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 2
#Range: 5.58134 V
#Offset: -7.44193e-05 V
#Relative: yes

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
5,1.175217133985085,-6.775912962347945
5.179766759898837,1.268765018020727,-7.131811736740014
5.365996737390579,1.373397633239366,-7.530479680973905
5.558922306812264,1.488726408236745,-7.961760706142115
5.758784197137266,1.614386210700061,-8.434160157386515
5.96583179235247,1.749728776665107,-8.958858221106569
6.180323442635005,1.89931487256322,-9.545806585062003
6.402526786716868,2.063259535578416,-10.18712308791498
6.632719085839589,2.247586050624122,-10.91980379260157
6.871187569715699,2.44720751518956,-11.75053496733692
7.118229794928689,2.669857268208401,-12.69782689331129
7.374154016218636,2.916094359009094,-13.775519093398
7.63927957111675,3.188396245194256,-15.04319229841266
7.913937278408966,3.488317516528252,-16.52038192993577
8.198469850925406,3.817243662970693,-18.23417264155273
8.493232323171236,4.178383329643562,-20.26345217543837
8.798592494332148,4.566779979480025,-22.64597088654163
9.114931387207411,4.981086181178568,-25.44103634762689
9.442643723643108,5.412756976644612,-28.69915041137196
9.7821384170588,5.853232512172671,-32.45783065873172
10.13383908268211,6.290865274926366,-36.75757117634868
10.49818456612811,6.710572017103848,-41.63645104266043
10.87562949098267,7.098473242100596,-47.15985978614064
11.26664482607351,7.434758247766888,-53.36430728539385
11.67171847313636,7.686764512114392,-60.33059938204552
12.09135587560978,7.83413128903463,-68.13438163292707
12.52608064931822,7.825026628808553,-76.78956008278233
12.9764352358301,7.607371486203975,-86.16250640041721
13.44298157930656,7.142865118196583,-95.93991319795566
13.9263018276849,6.422327880043461,-105.5788059771032
14.42699905907214,5.48897337205965,-114.4025833028376
14.94569803425473,4.440794152642027,-122.0287474415247
15.48304597626361,3.361848282684083,-128.3608620456225
16.03971337796714,2.301316596161471,-133.5865935303963
16.61639483869978,1.28421499858249,-137.8709617251982
17.21380993097035,0.3069243156608813,-141.5143488593212
17.83270409833134,-0.6313171452825393,-144.6061301869251
18.47384958552968,-1.529163848313209,-147.275830176155
19.13804640209952,-2.395672282338724,-149.5940682614624
19.82612332059931,-3.241523057562412,-151.6486619908312
20.53893891073909,-4.055736217765986,-153.4511741470101
21.27738261068784,-4.852094612432019,-155.066381071323
22.04237583689808,-5.633941805294188,-156.5123933520989
22.8348731338324,-6.405361513297202,-157.8151628746521
23.65586336502642,-7.159722667790172,-158.9974027548846
24.5063709469745,-7.901158663118316,-160.092697413095
25.38745712737781,-8.628745450491371,-161.0522809058977
26.30022130934969,-9.342634020240997,-161.9011489908162
27.24580242323052,-10.06465228067212,-162.7784916447225
28.22538034772413,-10.75978142938247,-163.4875076778664
29.24017738212866,-11.46403211231203,-164.1508418824145
30.29145977149917,-12.14921497502728,-164.7756295042653
